,dateRep,day,month,year,cases,deaths,countriesAndTerritories,geoId,countryterritoryCode,popData2018,continentExp
203,18/03/2020,18,3,2020,4,0,Albania,AL,ALB,2866376.0,Europe
204,17/03/2020,17,3,2020,9,0,Albania,AL,ALB,2866376.0,Europe
205,16/03/2020,16,3,2020,4,0,Albania,AL,ALB,2866376.0,Europe
206,15/03/2020,15,3,2020,5,0,Albania,AL,ALB,2866376.0,Europe
207,14/03/2020,14,3,2020,10,0,Albania,AL,ALB,2866376.0,Europe
208,13/03/2020,13,3,2020,12,0,Albania,AL,ALB,2866376.0,Europe
209,12/03/2020,12,3,2020,1,1,Albania,AL,ALB,2866376.0,Europe
210,11/03/2020,11,3,2020,4,0,Albania,AL,ALB,2866376.0,Europe
211,10/03/2020,10,3,2020,4,0,Albania,AL,ALB,2866376.0,Europe
212,09/03/2020,9,3,2020,2,0,Albania,AL,ALB,2866376.0,Europe
213,24/05/2020,24,5,2020,195,10,Algeria,DZ,DZA,42228429.0,Africa
214,23/05/2020,23,5,2020,190,7,Algeria,DZ,DZA,42228429.0,Africa
215,22/05/2020,22,5,2020,186,7,Algeria,DZ,DZA,42228429.0,Africa
216,21/05/2020,21,5,2020,165,7,Algeria,DZ,DZA,42228429.0,Africa
217,20/05/2020,20,5,2020,176,6,Algeria,DZ,DZA,42228429.0,Africa
218,19/05/2020,19,5,2020,182,7,Algeria,DZ,DZA,42228429.0,Africa
219,18/05/2020,18,5,2020,198,6,Algeria,DZ,DZA,42228429.0,Africa
220,17/05/2020,17,5,2020,192,6,Algeria,DZ,DZA,42228429.0,Africa
221,16/05/2020,16,5,2020,187,7,Algeria,DZ,DZA,42228429.0,Africa
222,15/05/2020,15,5,2020,189,7,Algeria,DZ,DZA,42228429.0,Africa
223,14/05/2020,14,5,2020,186,7,Algeria,DZ,DZA,42228429.0,Africa
224,13/05/2020,13,5,2020,176,8,Algeria,DZ,DZA,42228429.0,Africa
225,12/05/2020,12,5,2020,168,5,Algeria,DZ,DZA,42228429.0,Africa
226,11/05/2020,11,5,2020,165,8,Algeria,DZ,DZA,42228429.0,Africa
227,10/05/2020,10,5,2020,189,6,Algeria,DZ,DZA,42228429.0,Africa
228,09/05/2020,9,5,2020,187,5,Algeria,DZ,DZA,42228429.0,Africa
229,08/05/2020,8,5,2020,185,7,Algeria,DZ,DZA,42228429.0,Africa
230,07/05/2020,7,5,2020,159,6,Algeria,DZ,DZA,42228429.0,Africa
231,06/05/2020,6,5,2020,190,5,Algeria,DZ,DZA,42228429.0,Africa
232,05/05/2020,5,5,2020,174,2,Algeria,DZ,DZA,42228429.0,Africa
233,04/05/2020,4,5,2020,179,4,Algeria,DZ,DZA,42228429.0,Africa
234,03/05/2020,3,5,2020,141,6,Algeria,DZ,DZA,42228429.0,Africa
235,02/05/2020,2,5,2020,148,3,Algeria,DZ,DZA,42228429.0,Africa
236,01/05/2020,1,5,2020,158,6,Algeria,DZ,DZA,42228429.0,Africa
237,30/04/2020,30,4,2020,199,7,Algeria,DZ,DZA,42228429.0,Africa
238,29/04/2020,29,4,2020,132,5,Algeria,DZ,DZA,42228429.0,Africa
239,28/04/2020,28,4,2020,135,7,Algeria,DZ,DZA,42228429.0,Africa
240,27/04/2020,27,4,2020,126,6,Algeria,DZ,DZA,42228429.0,Africa
241,26/04/2020,26,4,2020,129,4,Algeria,DZ,DZA,42228429.0,Africa
242,25/04/2020,25,4,2020,120,8,Algeria,DZ,DZA,42228429.0,Africa
243,24/04/2020,24,4,2020,97,5,Algeria,DZ,DZA,42228429.0,Africa
244,23/04/2020,23,4,2020,99,10,Algeria,DZ,DZA,42228429.0,Africa
245,22/04/2020,22,4,2020,93,8,Algeria,DZ,DZA,42228429.0,Africa
246,21/04/2020,21,4,2020,89,9,Algeria,DZ,DZA,42228429.0,Africa
247,20/04/2020,20,4,2020,94,8,Algeria,DZ,DZA,42228429.0,Africa
248,19/04/2020,19,4,2020,117,3,Algeria,DZ,DZA,42228429.0,Africa
249,18/04/2020,18,4,2020,150,16,Algeria,DZ,DZA,42228429.0,Africa
250,17/04/2020,17,4,2020,108,12,Algeria,DZ,DZA,42228429.0,Africa
251,16/04/2020,16,4,2020,90,11,Algeria,DZ,DZA,42228429.0,Africa
252,15/04/2020,15,4,2020,87,12,Algeria,DZ,DZA,42228429.0,Africa
253,14/04/2020,14,4,2020,69,20,Algeria,DZ,DZA,42228429.0,Africa
254,13/04/2020,13,4,2020,89,18,Algeria,DZ,DZA,42228429.0,Africa
255,12/04/2020,12,4,2020,64,19,Algeria,DZ,DZA,42228429.0,Africa
256,11/04/2020,11,4,2020,95,21,Algeria,DZ,DZA,42228429.0,Africa
257,10/04/2020,10,4,2020,94,30,Algeria,DZ,DZA,42228429.0,Africa
258,09/04/2020,9,4,2020,104,12,Algeria,DZ,DZA,42228429.0,Africa
259,08/04/2020,8,4,2020,45,20,Algeria,DZ,DZA,42228429.0,Africa
260,07/04/2020,7,4,2020,103,21,Algeria,DZ,DZA,42228429.0,Africa
261,06/04/2020,6,4,2020,69,22,Algeria,DZ,DZA,42228429.0,Africa
262,05/04/2020,5,4,2020,80,25,Algeria,DZ,DZA,42228429.0,Africa
263,04/04/2020,4,4,2020,185,42,Algeria,DZ,DZA,42228429.0,Africa
264,03/04/2020,3,4,2020,139,5,Algeria,DZ,DZA,42228429.0,Africa
265,02/04/2020,2,4,2020,131,14,Algeria,DZ,DZA,42228429.0,Africa
266,01/04/2020,1,4,2020,132,9,Algeria,DZ,DZA,42228429.0,Africa
267,31/03/2020,31,3,2020,73,4,Algeria,DZ,DZA,42228429.0,Africa
268,30/03/2020,30,3,2020,57,2,Algeria,DZ,DZA,42228429.0,Africa
269,29/03/2020,29,3,2020,45,3,Algeria,DZ,DZA,42228429.0,Africa
270,28/03/2020,28,3,2020,42,1,Algeria,DZ,DZA,42228429.0,Africa
271,27/03/2020,27,3,2020,65,4,Algeria,DZ,DZA,42228429.0,Africa
272,26/03/2020,26,3,2020,38,2,Algeria,DZ,DZA,42228429.0,Africa
273,25/03/2020,25,3,2020,34,2,Algeria,DZ,DZA,42228429.0,Africa
274,24/03/2020,24,3,2020,29,0,Algeria,DZ,DZA,42228429.0,Africa
275,23/03/2020,23,3,2020,62,2,Algeria,DZ,DZA,42228429.0,Africa
276,22/03/2020,22,3,2020,37,5,Algeria,DZ,DZA,42228429.0,Africa
277,21/03/2020,21,3,2020,12,3,Algeria,DZ,DZA,42228429.0,Africa
278,20/03/2020,20,3,2020,18,1,Algeria,DZ,DZA,42228429.0,Africa
279,19/03/2020,19,3,2020,12,1,Algeria,DZ,DZA,42228429.0,Africa
280,18/03/2020,18,3,2020,2,1,Algeria,DZ,DZA,42228429.0,Africa
281,17/03/2020,17,3,2020,10,0,Algeria,DZ,DZA,42228429.0,Africa
282,16/03/2020,16,3,2020,11,2,Algeria,DZ,DZA,42228429.0,Africa
283,15/03/2020,15,3,2020,11,0,Algeria,DZ,DZA,42228429.0,Africa
284,14/03/2020,14,3,2020,1,1,Algeria,DZ,DZA,42228429.0,Africa
285,13/03/2020,13,3,2020,5,1,Algeria,DZ,DZA,42228429.0,Africa
286,12/03/2020,12,3,2020,0,0,Algeria,DZ,DZA,42228429.0,Africa
287,09/03/2020,9,3,2020,3,0,Algeria,DZ,DZA,42228429.0,Africa
288,06/03/2020,6,3,2020,5,0,Algeria,DZ,DZA,42228429.0,Africa
289,05/03/2020,5,3,2020,7,0,Algeria,DZ,DZA,42228429.0,Africa
290,04/03/2020,4,3,2020,2,0,Algeria,DZ,DZA,42228429.0,Africa
291,02/03/2020,2,3,2020,0,0,Algeria,DZ,DZA,42228429.0,Africa
292,01/03/2020,1,3,2020,2,0,Algeria,DZ,DZA,42228429.0,Africa
293,29/02/2020,29,2,2020,0,0,Algeria,DZ,DZA,42228429.0,Africa
294,28/02/2020,28,2,2020,0,0,Algeria,DZ,DZA,42228429.0,Africa
295,27/02/2020,27,2,2020,0,0,Algeria,DZ,DZA,42228429.0,Africa
296,26/02/2020,26,2,2020,1,0,Algeria,DZ,DZA,42228429.0,Africa
297,25/02/2020,25,2,2020,0,0,Algeria,DZ,DZA,42228429.0,Africa
298,24/02/2020,24,2,2020,0,0,Algeria,DZ,DZA,42228429.0,Africa
299,23/02/2020,23,2,2020,0,0,Algeria,DZ,DZA,42228429.0,Africa
300,22/02/2020,22,2,2020,0,0,Algeria,DZ,DZA,42228429.0,Africa
301,21/02/2020,21,2,2020,0,0,Algeria,DZ,DZA,42228429.0,Africa
302,20/02/2020,20,2,2020,0,0,Algeria,DZ,DZA,42228429.0,Africa
303,19/02/2020,19,2,2020,0,0,Algeria,DZ,DZA,42228429.0,Africa
304,18/02/2020,18,2,2020,0,0,Algeria,DZ,DZA,42228429.0,Africa
305,17/02/2020,17,2,2020,0,0,Algeria,DZ,DZA,42228429.0,Africa
306,16/02/2020,16,2,2020,0,0,Algeria,DZ,DZA,42228429.0,Africa
307,15/02/2020,15,2,2020,0,0,Algeria,DZ,DZA,42228429.0,Africa
308,14/02/2020,14,2,2020,0,0,Algeria,DZ,DZA,42228429.0,Africa
309,13/02/2020,13,2,2020,0,0,Algeria,DZ,DZA,42228429.0,Africa
310,12/02/2020,12,2,2020,0,0,Algeria,DZ,DZA,42228429.0,Africa
311,11/02/2020,11,2,2020,0,0,Algeria,DZ,DZA,42228429.0,Africa
312,10/02/2020,10,2,2020,0,0,Algeria,DZ,DZA,42228429.0,Africa
313,09/02/2020,9,2,2020,0,0,Algeria,DZ,DZA,42228429.0,Africa
314,08/02/2020,8,2,2020,0,0,Algeria,DZ,DZA,42228429.0,Africa
315,07/02/2020,7,2,2020,0,0,Algeria,DZ,DZA,42228429.0,Africa
316,06/02/2020,6,2,2020,0,0,Algeria,DZ,DZA,42228429.0,Africa
317,05/02/2020,5,2,2020,0,0,Algeria,DZ,DZA,42228429.0,Africa
318,04/02/2020,4,2,2020,0,0,Algeria,DZ,DZA,42228429.0,Africa
